sample_id,is_buyer,buy_freq,visit_freq,buy_interval,sv_interval,expected_time_buy,expected_time_visit,last_buy,last_visit,multiple_buy,multiple_visit,uniq_urls,num_checkins,y_buy
1,1,2,11,36.04167,17.46667,2.187187,8.670142,7,7,1,1,189,1008,1
2,0,NA,2,0,4.166667,0,-100.4819,102,102,0,1,50,162,1
3,1,3,49,45.125,2.584201,-58.93105,1.808742,0,0,1,1,158,1314,1
4,1,4,45,16.97222,2.298295,-26.27107,-2.628011,4,4,1,1,46,289,1
5,1,1,12,0,4.193182,0,-13.90436,17,17,0,1,42,294,1
6,0,NA,2,0,10,0,2.019883,2,2,0,1,42,323,1
7,0,NA,1,0,0,0,0,18,18,0,0,18,270,1
8,1,2,28,155.0833,6.594136,52.50744,4.282739,2,2,1,1,55,377,1
9,0,NA,3,0,52.4375,0,10.87623,24,24,0,1,162,1032,1
10,0,NA,1,0,0,0,0,67,67,0,0,0,753,1
11,0,NA,6,0,5.041667,0,-4.94264,9,9,0,1,92,687,1
12,1,1,6,0,13.18333,0,-39.70214,50,50,0,1,33,82,1
13,0,NA,2,0,0.0416667,0,-0.8571417,0,0,0,1,8,36,1
14,0,NA,2,0,0.4583333,0,-1.144908,1,1,0,1,23,118,1
15,0,NA,28,0,5.033951,0,4.760346,0,0,0,1,171,1432,1
16,1,2,3,37.04167,44.97917,-70.45861,-6.076668,36,36,1,1,64,247,1
17,1,1,3,0,8.583333,0,4.807093,0,0,0,1,31,161,1
18,0,NA,8,0,3.196429,0,-4.884779,7,7,0,1,21,109,1
19,0,NA,22,0,8.045635,0,6.362078,1,1,0,1,146,1072,1
20,0,NA,9,0,22.25521,0,16.4981,3,3,0,1,151,253,1
21,0,NA,1,0,0,0,0,163,163,0,0,171,1582,1
22,0,NA,4,0,2.402778,0,-0.4506833,2,2,0,1,12,49,1
23,0,NA,9,0,10.83333,0,-78.76772,88,88,0,1,172,4830,1
24,1,1,6,0,13.3,0,5.075762,6,6,0,1,9,753,1
25,0,NA,1,0,0,0,0,1,1,0,0,8,35,1
26,0,NA,2,0,18.79167,0,9.329363,0,0,0,1,21,44,1
27,1,1,6,0,17.20833,0,-55.60042,69,69,0,1,34,403,1
28,1,3,11,56.47917,12.7,1.719932,-21.51239,33,33,1,1,58,339,1
29,0,NA,2,0,0.125,0,0.0436208,0,0,0,1,2,22,1
30,1,2,1,0.0416667,0,-0.9539,0,1,1,1,0,11,33,1
31,0,NA,3,0,34.0625,0,-8.115983,30,30,0,1,175,279,1
32,1,1,1,0,0,0,0,44,44,0,0,65,114,1
33,1,2,9,84.5,10.72396,40.79327,9.075683,0,0,1,1,82,138,1
34,0,NA,4,0,35.36111,0,26.37372,0,0,0,1,155,532,1
35,0,NA,4,0,18.63889,0,-1.783471,15,15,0,1,49,238,1
36,1,3,36,8.541667,2.271429,-38.16209,2.143462,0,0,1,1,29,337,1
37,0,NA,3,0,4.083333,0,-26.16568,28,28,0,1,15,66,1
38,0,NA,2,0,32.91667,0,-1.658171,18,18,0,1,35,94,1
39,0,NA,6,0,29.80833,0,9.555532,15,15,0,1,118,253,1
40,0,NA,4,0,8.222222,0,-53.22318,59,59,0,1,38,52,1
41,0,NA,1,0,0,0,0,132,132,0,0,162,2328,1
